,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc0,0.01,0.3,0.01,0.2,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.15,1,"Easy Tyre Selection Process, Competitive Pricing and Excellent Fitting Service",garage service
Doc1,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0,Very easy to use and good value for money.,value for money
Doc2,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.27,0.02,0.02,6,Really easy and convenient to arrange,ease of booking
Doc3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.71,0.01,0.01,0.01,0.17,7,It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,location
Doc4,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.24,0.21,0.01,0.01,0.01,1,service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,garage service
Doc5,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.17,0,User friendly Website. Competitive Prices. Good communications. Efficient service by ATS Euromaster.,value for money
Doc6,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Excellent prices and service,garage service
Doc7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,7,It was very straightforward and the garage was great. Hadn't even known about them before,location
Doc8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.27,7,Use of local garage.,location
Doc9,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,11,"Easy to use, also good price.",discounts
Doc10,0.64,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,Outstanding values for money and a friendly professional service,value for money
